favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	screen_name	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	in_reply_to_user_id
None	False	RT @thomashosman: Cineville, VPRO en De Balie presenteren: De Oscarnacht. Met veel gasten, muziek, films en live uitzending! http://tiny ...	None	9520546377	web	False	None	None	9520546377	1	None	False	None	None	eelkeh	Tue Feb 23 10:36:10 +0000 2010	None	None
None	False	RT @Cineville: Bedrijven in spagaat http://tinyurl.com/yblgdep #Disney #AliceinWonderland	None	9232875238	web	False	None	None	9232875238	1	None	False	None	None	eelkeh	Wed Feb 17 13:11:28 +0000 2010	None	None
None	False	RT @empiremagazine: RT @edgarwright: George A Romero is 70 today. I wouldn't be where I am without the great man. Raise a glass to the r ...	None	8638853910	web	False	None	None	8638853910	11	None	False	None	None	eelkeh	Thu Feb 04 16:43:07 +0000 2010	None	None
False	None	False	Eerste tweet vanaf iPhone!	Sun Jan 17 17:16:29 +0000 2010	False	None	None	None	<a href="http://echofon.com/" rel="nofollow">Echofon</a>	None	eelkeh	None	7869730732	None	0	None	7869730732	None
False	None	False	Dit gaat niet lukken...	Mon Nov 16 23:53:20 +0000 2009	False	None	None	None	web	None	eelkeh	None	5780115283	None	0	None	5780115283	None
False	None	False	@tweetingdumb Could i get one of your invites? at eelkehermens@gmail.com	Fri Nov 06 22:37:33 +0000 2009	False	5491006481	None	45600841	web	5491006481	eelkeh	tweetingdumb	5491039488	None	0	None	5491039488	45600841
False	None	False	@guydmann I would love one of your Google Wave invites, eelkehermens@gmail.com	Fri Nov 06 22:34:12 +0000 2009	False	5490891063	None	18395303	web	5490891063	eelkeh	guydmann	5490960396	None	0	None	5490960396	18395303
False	None	False	@TRONash I would love your Google Wave invite! eelkehermens@gmail.com	Fri Nov 06 22:29:37 +0000 2009	False	5490816364	None	4278151	web	5490816364	eelkeh	travisro	5490850577	None	0	None	5490850577	4278151
False	None	False	Speciaal voor papa, Twitter updates, ik ga nu wijn drinken	Fri Nov 06 22:19:00 +0000 2009	False	None	None	None	web	None	eelkeh	None	5490602165	None	0	None	5490602165	None
False	None	False	Ik ga er maar eens aan geloven... Twitter here I come...	Fri Nov 06 22:16:12 +0000 2009	False	None	None	None	web	None	eelkeh	None	5490538205	None	0	None	5490538205	None
False	None	False	Hopsa, een redactiepagina gebouwd op http://79.170.91.100/~eelke/redactieOverzicht en filteren naar hartelust! Speciaal voor Janna!	Thu Feb 05 22:06:51 +0000 2009	False	None	None	None	web	None	eelkeh	None	1181219022	None	0	None	1181219022	None
False	None	False	Wow de testfeed is weliswaar uit elkaar geklapt maar de live feed werkt fine! Thanks Robert! Morgen uitgebreid testen... signing out...	Thu Feb 05 21:38:42 +0000 2009	False	None	None	None	web	None	eelkeh	None	1181132463	None	0	None	1181132463	None
False	None	False	En... de feed is gecrasht. Wel mooie RSS feeds gebouwd voor het AUB en het Parool vandaag en bijna een subsidieaanvraag af...Zzzz	Thu Feb 05 21:31:44 +0000 2009	False	None	None	None	web	None	eelkeh	None	1181110308	None	0	None	1181110308	None
False	None	False	Signing out; Goede dag! Agenda voor theaters/films gemaakt, plus een oplossing voor trailers. No more big issues!	Sun Feb 01 00:04:43 +0000 2009	False	None	None	None	web	None	eelkeh	None	1165666130	None	0	None	1165666130	None
False	None	False	@hosmania Nice job -&gt; theaterpagina's -&gt; kan je op skype komen als je kans hebt? Wil iets vragen over de paths...	Sat Jan 31 15:32:30 +0000 2009	False	1164523447	None	19808459	web	1164523447	eelkeh	hosmania	1164651810	None	0	None	1164651810	19808459
False	None	False	wordt dit ajax geupdate of moet je refreshen?	Sat Jan 31 15:28:14 +0000 2009	False	None	None	None	web	None	eelkeh	None	1164642861	None	0	None	1164642861	None
False	None	False	@ChairmanGus Hola, wat is Janna's usrname?	Sat Jan 31 15:27:15 +0000 2009	False	1164638022	None	19795364	web	1164638022	eelkeh	ChairmanGus	1164640821	None	0	None	1164640821	19795364
False	None	False	@ de balie	Sat Jan 31 15:23:47 +0000 2009	False	None	None	None	web	None	eelkeh	None	1164633134	None	0	None	1164633134	None
False	None	False	ok dit is echt gay... gelukkig heeft mchamer ook twitter	Sat Jan 31 15:22:51 +0000 2009	False	None	None	None	web	None	eelkeh	None	1164630957	None	0	None	1164630957	None
False	None	False	ok dit is echt gay... gelukkig heeft mchamer ook twitter	Sat Jan 31 15:22:51 +0000 2009	False	None	None	None	web	None	eelkeh	None	1164630957	None	0	None	1164630957	None
